address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape,lat_min_zoom,lat_max_zoom,lon_min_zoom,lon_max_zoom
"Kansas, United States of America",KS,tcdc,copper_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"36.9929,40.0033,-102.0518,-94.5886",skip,36.9929,40.0033,-102.0518,-94.5886,2.479138985,Rectangular,38.2481,38.7481,-98.5702,-98.0702
"Oklahoma, United States of America",OK,tcdc,flag,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"33.616,37.0023,-103.0026,-94.4314",skip,33.616,37.0023,-103.0026,-94.4314,2.531140183,Rectangular,35.05915,35.55915,-98.967,-98.467
"Montana, United States of America",MT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"44.3579,49.0011,-116.0496,-104.0395",skip,44.3579,49.0011,-116.0496,-104.0395,2.586599759,Rectangular,46.4295,46.9295,-110.29455,-109.79455
"Kentucky, United States of America",KY,tcdc,flag,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"36.4968,39.1481,-89.4168,-81.965",skip,36.4968,39.1481,-89.4168,-81.965,2.810621205,Rectangular,37.57245,38.07245,-85.9409,-85.4409
"Virginia, United States of America",VA,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"36.5408,39.4659,-83.6752,-75.2418",skip,36.5408,39.4659,-83.6752,-75.2418,2.883115107,Rectangular,37.75335,38.25335,-79.7085,-79.2085
"Nebraska, United States of America",NE,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"39.9999,43.0017,-104.0537,-95.3082",skip,39.9999,43.0017,-104.0537,-95.3082,2.913418615,Rectangular,41.2508,41.7508,-99.93095,-99.43095
"North Carolina, United States of America",NC,tcdc,cool_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"33.8401,36.5883,-84.3217,-75.4604",skip,33.8401,36.5883,-84.3217,-75.4604,3.224401426,Rectangular,34.9642,35.4642,-80.14105,-79.64105
"Tennessee, United States of America",TN,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"34.9832,36.6783,-90.3105,-81.6469",skip,34.9832,36.6783,-90.3105,-81.6469,5.110966905,Rectangular,35.58075,36.08075,-86.2287,-85.7287
"Delaware, United States of America",DE,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"38.451,39.8395,-75.7886,-75.0489",skip,38.451,39.8395,-75.7886,-75.0489,0.532733165,Rectangular,38.89525,39.39525,-75.66875,-75.16875
"New Jersey, United States of America",NJ,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"38.9289,41.3576,-75.5598,-73.8937",skip,38.9289,41.3576,-75.5598,-73.8937,0.686004859,Rectangular,39.89325,40.39325,-74.97675,-74.47675
"New Hampshire, United States of America",NH,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"42.6971,45.3053,-72.5573,-70.7086",skip,42.6971,45.3053,-72.5573,-70.7086,0.708803006,Rectangular,43.7512,44.2512,-71.88295,-71.38295
"Illinois, United States of America",IL,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"36.9701,42.5084,-91.5129,-87.4952",skip,36.9701,42.5084,-91.5129,-87.4952,0.725439214,Rectangular,39.48925,39.98925,-89.75405,-89.25405
