address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,mat_width,pad_width,mat_color,zoom_px,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape
"Connecticut, United States of America",CT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"40.9805,42.0504,-73.7279,-71.7872",,40.9805,42.0504,-73.7279,-71.7872,1.813907842,Rectangular
"Oregon, United States of America",OR,tcdc,gist_earth,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"41.992,46.2938,-124.5664,-116.4633",,41.992,46.2938,-124.5664,-116.4633,1.883653354,Rectangular
"Iowa, United States of America",IA,tcdc,coolwarm_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"40.3755,43.501,-96.6394,-90.1404",,40.3755,43.501,-96.6394,-90.1404,2.079347304,Rectangular
"Massachusetts, United States of America",MA,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"41.2381,42.8868,-73.5081,-69.9282",,41.2381,42.8868,-73.5081,-69.9282,2.171347122,Rectangular
"South Dakota, United States of America",SD,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"42.4796,45.9455,-104.0577,-96.4364",,42.4796,45.9455,-104.0577,-96.4364,2.198938227,Rectangular
"Washington, United States of America",WA,tcdc,Blues,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"45.5437,49.0049,-124.7494,-116.9161",,45.5437,49.0049,-124.7494,-116.9161,2.263174622,Rectangular
"Pennsylvania, United States of America",PA,tcdc,gist_heat_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"39.7199,42.2695,-80.5195,-74.6896",,39.7199,42.2695,-80.5195,-74.6896,2.286593976,Rectangular
"Alaska, United States of America",AK,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"51.2097,71.441,-179.1505,-129.9795",,51.2097,71.441,-179.1505,-129.9795,2.430441939,Rectangular
"North Dakota, United States of America",ND,tcdc,coolwarm_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"45.935,49.0007,-104.0489,-96.5548",,45.935,49.0007,-104.0489,-96.5548,2.444498809,Rectangular
"Maryland, United States of America",MD,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"37.912,39.7231,-79.4872,-75.0492",,37.912,39.7231,-79.4872,-75.0492,2.450444481,Rectangular
"Kansas, United States of America",KS,tcdc,copper_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"36.9929,40.0033,-102.0518,-94.5886",,36.9929,40.0033,-102.0518,-94.5886,2.479138985,Rectangular
"Oklahoma, United States of America",OK,tcdc,flag,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"33.616,37.0023,-103.0026,-94.4314",,33.616,37.0023,-103.0026,-94.4314,2.531140183,Rectangular
"Montana, United States of America",MT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"44.3579,49.0011,-116.0496,-104.0395",,44.3579,49.0011,-116.0496,-104.0395,2.586599759,Rectangular
"Kentucky, United States of America",KY,tcdc,flag,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"36.4968,39.1481,-89.4168,-81.965",,36.4968,39.1481,-89.4168,-81.965,2.810621205,Rectangular
"Virginia, United States of America",VA,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"36.5408,39.4659,-83.6752,-75.2418",,36.5408,39.4659,-83.6752,-75.2418,2.883115107,Rectangular
"Nebraska, United States of America",NE,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"39.9999,43.0017,-104.0537,-95.3082",,39.9999,43.0017,-104.0537,-95.3082,2.913418615,Rectangular
"North Carolina, United States of America",NC,tcdc,cool_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"33.8401,36.5883,-84.3217,-75.4604",,33.8401,36.5883,-84.3217,-75.4604,3.224401426,Rectangular
"Tennessee, United States of America",TN,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"34.9832,36.6783,-90.3105,-81.6469",,34.9832,36.6783,-90.3105,-81.6469,5.110966905,Rectangular
